Model,Accuracy,Precision,Recall (Sensitivity),F1 Score,AUC-ROC,Avg Precision,CV F1 (Mean),CV F1 (Std)
Logistic Regression,0.8833333333333333,0.7368421052631579,0.875,0.8,0.9019886363636364,0.8488579579594644,0.8904106920146964,0.05000181864964607
Neural Network,0.9,0.7777777777777778,0.875,0.8235294117647058,0.8607954545454546,0.6586134394061223,0.8999852930677518,0.036476507478226415
Gradient Boosting,0.8666666666666667,0.9,0.5625,0.6923076923076923,0.9218750000000001,0.8283525910364147,0.877717210325906,0.05296754900245451
